date,actual,point_forecast,brier,logloss,baseline_brier,baseline_logloss
2020-01-11,69,40.25762161420641,0.06754516692939636,0.22819752026880283,0.06608418776250943,0.2233083047646717
2020-01-12,68,40.16830922959234,0.06772586840803026,0.22887487677922733,0.06873564374696109,0.23066187767274898
2020-01-13,46,40.08695292102392,0.10175700388951654,0.38430338399635067,0.1015273691067137,0.37654945285918984
2020-01-14,46,40.01365955368339,0.10181839342864504,0.3854963778266608,0.10060877562189334,0.3686843915317189
2020-01-15,50,39.9485317465599,0.0705895176416855,0.23737497206762007,0.07328231292517008,0.24387308272177757
2020-01-16,49,39.89166760881593,0.07106765614658148,0.23875787908552795,0.07314058956916099,0.24265414895218312
2020-01-17,33,39.843160481755135,0.10044009131996359,0.373757508258572,0.10200793650793649,0.3764477309260458
2020-01-18,37,39.80309868710072,0.09809592988588858,0.35592458586904385,0.09996258503401362,0.3615077887664087
2020-01-19,43,39.77156528227943,0.09922265405858127,0.3643705097398173,0.1012199546485261,0.37232784694940735
2020-01-20,31,39.74863782339182,0.0674494213442727,0.22846547409539125,0.06278231292517007,0.21334350502834484
2020-01-21,33,39.734388136531514,0.09982633374440922,0.3685134639684503,0.103781179138322,0.39338070747441456
2020-01-22,38,39.728882098097905,0.09789485609455861,0.3539936907540487,0.09540589569160998,0.33346653289533523
2020-01-23,47,39.7321794247254,0.1028928484015497,0.39485134168555774,0.10689342403628119,0.4312621464366866
2020-01-24,51,39.74433347343048,0.07403362396689633,0.2476737224592135,0.07828004535147391,0.25934691487332956
2020-01-25,51,39.765391052553575,0.07359727858273075,0.24653164480000783,0.07810884353741496,0.25922070778730577
2020-01-26,46,39.795392244046894,0.1026120487212786,0.3922859752660824,0.10584920634920636,0.42454670157628416
2020-01-27,45,39.834370237632534,0.10111551333053999,0.37849701104785394,0.10520975056689341,0.41846934874279623
2020-01-28,43,39.88235117732639,0.09969513726587406,0.36731137188485213,0.09874603174603176,0.36062481004805563
2020-01-29,41,39.93935402079346,0.09819289633204223,0.3572361435473569,0.09789682539682541,0.35393147601758557
2020-01-30,38,40.00539041196868,0.09746232361657022,0.35235568266304795,0.09755102040816327,0.3536987060330469
